model,eps,gap,gap_ci_lower,gap_ci_upper,wbc_auc,wbc_ci_lower,wbc_ci_upper
gemma3_1b,baseline,0.17578027439389915,0.12413748172680279,0.22670879910264113,0.5933424184694656,0.5666733932853485,0.6199571521345363
gemma3_1b,dp_eps16.0,0.03110577236384881,-0.012698370339653686,0.07481079882662015,0.5156252426498289,0.48892629665746506,0.5429246014510036
gemma3_1b,dp_eps3.0,0.02719652913801082,-0.013012100376169254,0.06759127747617785,0.5063288428999208,0.47934857212265825,0.5333973475043807
gemma3_1b,dp_eps5.0,0.02824825408079717,-0.014064636869399594,0.06985682412486581,0.5081586751841107,0.4808391593949413,0.5351578162906883
gemma3_1b,dp_eps64.0,0.03239841705252196,-0.013233136567744719,0.07801439699762823,0.5139405836482406,0.487434252256012,0.5411246498363212
gemma3_1b,dp_eps8.0,0.029440912151516875,-0.01305146138141716,0.07177561470587539,0.5116296979044338,0.48415997296046753,0.5389429928980888
gemma_2b_it,baseline,0.8396925995163121,0.7748407001298356,0.904177337473766,0.8345534318362227,0.8155293802057167,0.8532402704373048
gemma_2b_it,dp_eps16.0,0.0320672347684546,-0.010489864295333972,0.07562318789382229,0.5251681471330512,0.49737017654157123,0.5524862465018447
gemma_2b_it,dp_eps3.0,0.02719656626081962,-0.01269960213427451,0.06728733365767937,0.5160369609021185,0.48895655517136205,0.5436249368119894
gemma_2b_it,dp_eps5.0,0.028640552596965397,-0.012124416559547413,0.06977865755062562,0.5205517520369163,0.49338184206658064,0.5481088813506726
gemma_2b_it,dp_eps64.0,0.033151187001778555,-0.011900782540943943,0.07806620216133535,0.5179676408754458,0.490244620586273,0.5456750882827979
gemma_2b_it,dp_eps8.0,0.029413835019804907,-0.012164739849505423,0.07096125281220926,0.5189970230822649,0.4918745728751916,0.5459581051393011
llama3_2_1b_it,baseline,0.14779232265005982,0.11269156763120128,0.1829347428639211,0.5921065014433055,0.5654794459459818,0.6183359782751177
llama3_2_1b_it,dp_eps16.0,0.015406045455570965,-0.015258365949407392,0.04682192151809595,0.5120869269550726,0.48558801018625813,0.5386964940145624
llama3_2_1b_it,dp_eps3.0,0.01270412439711001,-0.01967846832337261,0.04450337622614668,0.5069781277960478,0.4801261076506763,0.5342453085476129
llama3_2_1b_it,dp_eps5.0,0.012561278539382638,-0.018420391639950972,0.04414509118191566,0.5072444956828877,0.4806198530421349,0.5341540206510328
llama3_2_1b_it,dp_eps64.0,0.01704947391002147,-0.012323656539018945,0.04654120759158894,0.508857307826924,0.48204625500978593,0.5361906014202493
llama3_2_1b_it,dp_eps8.0,0.011807607316372612,-0.019761119145696872,0.04308672211557262,0.49939546987501227,0.4726803196220587,0.5263257431687239
vault_gemma,baseline,0.625914439297456,0.5498291615962402,0.7013253380606992,0.7455418888661572,0.7220235648328186,0.7682156992335776
vault_gemma,dp_eps16.0,0.03845382341037912,-0.01442813642458478,0.09110316900788969,0.5263021429434324,0.4996821881414487,0.5532133609143985
vault_gemma,dp_eps3.0,0.035998411483553164,-0.011980173421215554,0.08498252669878564,0.5237909657308457,0.4966349518465154,0.5509794291584228
vault_gemma,dp_eps5.0,0.03753498971824088,-0.013374449776248432,0.08843885669580519,0.5211383632610197,0.49406118019591183,0.5485149333141953
vault_gemma,dp_eps64.0,0.03764629024165048,-0.015286144650911548,0.09086212992435898,0.5285926825981091,0.501326508473646,0.5560965940693061
vault_gemma,dp_eps8.0,0.03728444452140439,-0.013307074302628496,0.08849660246712823,0.5267402184625127,0.5002736636331061,0.5543796273801083
